table	id	family	alias	canonicalOperation	canonicalDepartment	readOnly	ambiguityRule	notes
GRAMMAR_PRODUCTION	G001	STATUS	stats	STATUS		true	unique	stats -> STATUS
GRAMMAR_PRODUCTION	G002	MISSIONS	mission	MISSIONS		true	unique	mission -> MISSIONS
GRAMMAR_PRODUCTION	G003	STATUS	winning	STATUS		true	unique	winning -> STATUS
GRAMMAR_PRODUCTION	G004	STATUS	losing	STATUS		true	unique	losing -> STATUS
GRAMMAR_PRODUCTION	G005	HELP	playing	HELP		true	unique	playing -> HELP
GRAMMAR_PRODUCTION	G006	HELP	how to play	HELP		true	unique	how to play -> HELP
GRAMMAR_PRODUCTION	G007	NAVIGATE	navigate <department>			true	department required	navigation only
GRAMMAR_PRODUCTION	G008	ADVISE	advise <category> <category>	ADVISE		true	two valid refs	read-only
GRAMMAR_PRODUCTION	G009	COMPARE	compare <category> <category>	COMPARE		true	two valid refs	read-only
GRAMMAR_PRODUCTION	G010	SHOW_DOCKET	list <category> <category>	SHOW_DOCKET		true	valid refs	read-only
GRAMMAR_PRODUCTION	G011	STATUS	stats <category> <category>	STATUS		true	valid refs	read-only
GRAMMAR_PRODUCTION	G012	COMPARE	<category> <category>	COMPARE		true	only if aliases unique	shorthand m p is conditional
LEXICON	L001	status	stats	STATUS		true	unique	default scope
LEXICON	L002	status	status	STATUS		true	unique	default scope
LEXICON	L003	status	current position	STATUS		true	unique	default scope
LEXICON	L004	status	what is going on	STATUS		true	unique	default scope
LEXICON	L005	mission	mission	MISSIONS		true	unique	default scope
LEXICON	L006	mission	missions	MISSIONS		true	unique	default scope
LEXICON	L007	outcome	winning	STATUS		true	unique	outcome scope
LEXICON	L008	outcome	losing	STATUS		true	unique	outcome scope
LEXICON	L009	play	playing	HELP		true	unique	help scope
LEXICON	L010	play	how to play	HELP		true	unique	help scope
LEXICON	L011	navigation	navigate production		PRODUCTION	true	unique	page navigation
LEXICON	L012	navigation	navigate military		MILITARY	true	unique	page navigation
LEXICON	L013	navigation	navigate diplomacy		DIPLOMACY	true	unique	page navigation
LEXICON	L014	advise	advise	ADVISE		true	valid targets if supplied	read-only
LEXICON	L015	compare	compare	COMPARE		true	exactly two targets	read-only
LEXICON	L016	compare	versus	COMPARE		true	exactly two targets	read-only
LEXICON	L017	compare	vs	COMPARE		true	exactly two targets	read-only
